"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2023/12/06 16:03:00","SHIB/JPY","売り","0.0014033","SHIB","-1,157,675","0","0.0014033","JPY","1,624","0","","自己","BFF20231206-070300-393404",""
"2023/12/02 10:49:37","SHIB/JPY","買い","0.0012957","SHIB","1,157,675.38782125","0","0.0012957","JPY","-1,500","0","","自己","BFF20231202-014937-044795",""
"2023/11/11 10:19:01","SHIB/JPY","売り","0.0012489","SHIB","-800,704.62006566","0","0.0012489","JPY","1,000","0","","自己","BFF20231111-011901-237019",""
"2023/11/09 17:54:54","XYM/JPY","売り","4.17","XYM","-239.808154","0","4.17","JPY","1,000","0","","自己","BFF20231109-085454-905467",""
"2023/11/07 06:50:02","XYM/JPY","売り","4.04","XYM","-275","0","4.04","JPY","1,111","0","","自己","BFF20231106-215002-728236",""
"2023/09/20 21:13:45","XYM/JPY","買い","3.71","XYM","269.541778","0","3.71","JPY","-1,000","","","自己","BFF20230920-121345-998145",""
"2023/09/11 20:19:56","SHIB/JPY","買い","0.0010959","SHIB","912,492.01569486","0","0.0010959","JPY","-1,000","","","自己","BFF20230911-111956-981467",""
"2023/09/11 08:13:01","SHIB/JPY","買い","0.0011416","SHIB","875,963.5599159","0","0.0011416","JPY","-1,000","","","自己","BFF20230910-231301-774183",""
"2023/09/11 08:09:33","JPY","入金","0","JPY","3,000","0","0","","0","","","","MDP20230910-230933-731461",""
"2023/08/08 12:46:24","SHIB/JPY","買い","0.0013466","SHIB","609,683.64770533","0","0.0013466","JPY","-821","","","自己","BFF20230808-034624-791297",""
"2023/08/08 12:25:36","SHIB/JPY","買い","0.0013405","SHIB","74,599.0302126","0","0.0013405","JPY","-100","","","自己","BFF20230808-032536-517295",""
"2023/07/25 07:28:03","SHIB/JPY","買い","0.0011359","SHIB","1,000,000","0","0.0011359","JPY","-1,136","","","自己","BFF20230724-222803-664560",""
"2023/07/13 08:11:22","SHIB/JPY","買い","0.0010895","SHIB","1,000,000","0","0.0010895","JPY","-1,090","","","自己","BFF20230712-231122-814636",""
